name,night_mjd,n_exposures,mjd_start,mjd_last,mjd_end,filters,date_utc,duration_start_to_start_h,duration_start_to_end_h
cid_268,57834,26,57834.27387879,57834.4882167,57834.491341700006,"g,z",2017-03-22,5.144109840039164,5.219109840109013
cid_268,57841,20,57841.26791919,57841.42763926,57841.43111148222,"g,z",2017-03-29,3.8332816799520515,3.9166150132077746
cid_268,57842,24,57842.24976169,57842.37202824,57842.37550046222,"i2,y",2017-03-30,2.934397200064268,3.017730533319991
cid_268,57866,17,57866.24076716,57866.3822219,57866.38569412222,"r2,z",2017-04-23,3.3949137599556707,3.478247093211394
cid_268,58161,11,58161.29923082,58161.41950248,58161.42991914666,N1010,2018-02-12,2.8865198400453664,3.1365198399871588
cid_268,58162,13,58162.29133877,58162.42372641,58162.434143076665,N1010,2018-02-13,3.177303359960206,3.427303359901998
cid_268,58488,17,58488.40365477,58488.65338457,58488.66380123667,N1010,2019-01-05,5.9935152000398375,6.24351519998163
cid_268,58612,26,58612.23635759,58612.38425353,58612.38772575222,i2,2019-05-09,3.5495025599375367,3.63283589319326
cid_346,56743,33,56743.292179517,56743.4162245691,56743.41900234688,i,2014-03-27,2.977081250399351,3.0437479171087034
cid_346,56744,34,56744.2640005946,56744.5061037191,56744.5092287191,"i,r,z",2014-03-28,5.810474987898488,5.885474987968337
cid_346,57038,31,57038.5296832784,57038.6641291846,57038.667254184606,z,2015-01-16,3.226701748848427,3.3017017489182763
cid_346,57040,37,57040.3625245108,57040.5454916195,57040.54965828617,y,2015-01-18,4.3912106088828295,4.4912106088595465
cid_346,57097,15,57097.2391047985,57097.4368712818,57097.439996281806,"N921,z",2015-03-16,4.7463955992716365,4.821395599341486
cid_346,57099,17,57099.2248146622,57099.4519605529,57099.45404388623,"N921,r",2015-03-18,5.451501376752276,5.501501376740634
cid_346,57101,11,57101.2274189992,57101.3889435912,57101.3920685912,"N921,i",2015-03-20,3.8765902079176158,3.951590207987465
cid_346,57427,24,57427.3115773117,57427.5655354643,57427.57595213097,"N816,i2",2016-02-09,6.094995662395377,6.344995662337169
cid_346,57487,15,57487.2348038596,57487.397550921,57487.407967587664,N921,2016-04-09,3.905929473519791,4.155929473461583
cid_346,57489,15,57489.2291235193,57489.3913163249,57489.401732991566,N921,2016-04-11,3.892627334513236,4.142627334455028
cid_346,57715,28,57715.51913213,57715.64779635,57715.65126857222,"y,z",2016-11-23,3.0879412799840793,3.1712746132398024
cid_346,57745,15,57745.47073222,57745.64726794,57745.65074016222,z,2016-12-23,4.236857280135155,4.320190613390878
cid_346,57755,25,57755.42842293,57755.62697091,57755.63044313222,"g,i2,z",2017-01-02,4.76515151996864,4.848484853224363
cid_346,57776,18,57776.35023231,57776.59772333,57776.60119555222,"i2,r2",2017-01-23,5.9397844800841995,6.023117813339923
cid_346,57783,28,57783.39695087,57783.61085843,57783.613983430005,"i2,z",2017-01-30,5.133781439973973,5.208781440043822
