name,object_id,tract,patch,visit,ccd,filter,pointing,mjd,exptime,seeing,zeropt,maglimit
cid_1205,43158739083084985,9813,505,68322,58,N921,1562,57489.3373585069,900.0,0.7703908,31.392647,
cid_1205,43158739083084985,9813,505,68324,49,N921,1562,57489.3481493061,900.0,0.7589504,31.386492,
cid_1205,43158739083084985,9813,505,68326,57,N921,1562,57489.3589388886,900.0,0.7859076,31.380796,
cid_1205,43158739083084985,9813,505,68328,57,N921,1562,57489.3697289438,900.0,0.81698954,31.388142,
cid_1205,43158739083084985,9813,505,68330,65,N921,1562,57489.3805195699,900.0,0.75393826,31.385546,
cid_1205,43158739083084985,9813,505,68332,58,N921,1562,57489.3913163249,900.0,0.7591165,31.389744,
cid_1205,43158739083084985,9813,505,177512,4,N921,2684,58611.25987876,900.0,0.6387252,31.557388,
cid_1205,43158739083084985,9813,505,11690,57,g,1052,56979.5394348637,300.0,0.7861746,33.25797,
cid_1205,43158739083084985,9813,505,11692,65,g,1052,56979.5435215207,300.0,0.7532693,33.28221,
cid_1205,43158739083084985,9813,505,11694,58,g,1052,56979.5474796505,300.0,0.7330714,33.27284,
cid_1205,43158739083084985,9813,505,11696,57,g,1052,56979.551632829,300.0,0.7514976,33.27428,
cid_1205,43158739083084985,9813,505,11698,57,g,1052,56979.5556209967,300.0,0.7435883,33.27795,
cid_1205,43158739083084985,9813,505,11700,58,g,1052,56979.5596199855,300.0,0.7653439,33.29284,
cid_1205,43158739083084985,9813,505,11702,66,g,1052,56979.563672231,300.0,0.72700286,33.319412,
cid_1205,43158739083084985,9813,505,11704,58,g,1052,56979.5675242837,300.0,0.7025033,33.300255,
cid_1205,43158739083084985,9813,505,11706,58,g,1052,56979.5715536191,300.0,0.7732494,33.30132,
cid_1205,43158739083084985,9813,505,11708,65,g,1052,56979.575509029,300.0,0.8054016,33.329453,
cid_1205,43158739083084985,9813,505,11710,49,g,1052,56979.579552704,300.0,0.88124204,33.298965,
cid_1205,43158739083084985,9813,505,11712,57,g,1052,56979.5834749355,300.0,0.92206526,33.2846,
cid_1205,43158739083084985,9813,505,19184,13,g,1115,57042.3731314801,380.0,1.1027235,33.54051,
cid_1205,43158739083084985,9813,505,19186,13,g,1115,57042.3779441439,380.0,1.0347743,33.53946,
cid_1205,43158739083084985,9813,505,19188,13,g,1115,57042.3827243201,380.0,1.0125226,33.56232,
cid_1205,43158739083084985,9813,505,19190,14,g,1115,57042.3875383162,380.0,1.1304626,33.528767,
cid_1205,43158739083084985,9813,505,19192,10,g,1115,57042.3923209445,380.0,1.0301901,33.59851,
cid_1205,43158739083084985,9813,505,19194,10,g,1115,57042.3971352968,380.0,0.9812297,33.60278,
cid_1205,43158739083084985,9813,505,19196,4,g,1115,57042.4019470289,380.0,1.0822492,33.642887,
cid_1205,43158739083084985,9813,505,19198,22,g,1115,57042.4067603885,380.0,1.0879642,33.64651,
cid_1205,43158739083084985,9813,505,19200,22,g,1115,57042.4115378307,380.0,1.1430458,33.631886,
cid_1205,43158739083084985,9813,505,19202,87,g,1115,57042.416408129,380.0,1.1026424,33.616005,
cid_1205,43158739083084985,9813,505,19204,81,g,1115,57042.4212210611,380.0,0.8670696,33.613754,
cid_1205,43158739083084985,9813,505,19206,81,g,1115,57042.4260396953,380.0,0.8022847,33.621674,
cid_1205,43158739083084985,9813,505,19208,81,g,1115,57042.4308512374,380.0,0.86262214,33.61042,
cid_1205,43158739083084985,9813,505,19210,87,g,1115,57042.4356293972,380.0,0.8190821,33.665855,
cid_1205,43158739083084985,9813,505,19212,84,g,1115,57042.4404722904,380.0,0.78868216,33.69285,
cid_1205,43158739083084985,9813,505,19214,78,g,1115,57042.4452862181,380.0,0.80799776,33.659958,
cid_1205,43158739083084985,9813,505,19216,78,g,1115,57042.4500642833,380.0,0.9174226,33.641155,
cid_1205,43158739083084985,9813,505,19218,102,g,1115,57042.4548359895,380.0,0.8408136,33.73397,
cid_1205,43158739083084985,9813,505,19220,102,g,1115,57042.4596181423,380.0,0.8287302,33.7137,
cid_1205,43158739083084985,9813,505,29310,10,g,1232,57159.2451585117,180.0,1.0912647,32.79265,
cid_1205,43158739083084985,9813,505,29324,49,g,1232,57159.25731121,300.0,0.91489273,33.27859,
cid_1205,43158739083084985,9813,505,29326,49,g,1232,57159.2611675854,300.0,0.94750243,33.27661,
